CO_PROCEDIMENTO,CO_CID,ST_PRINCIPAL,DT_COMPETENCIA
0201010135,S231,S,202306
0201010135,S320,S,202306
0201010135,S321,S,202306
0201010135,S327,S,202306
0201010135,S328,S,202306
0201010135,S330,S,202306
0201010135,S331,S,202306
0201010135,T840,S,202306
0201010135,T842,S,202306
0201010135,T843,S,202306
0201010135,T844,S,202306
0201010135,T845,S,202306
0201010135,T846,S,202306
0201010135,T847,S,202306
0201010135,T848,S,202306
0201010135,T849,S,202306
0201010135,T911,S,202306
0201010135,T913,S,202306
0201010135,T918,S,202306
0201010135,T919,S,202306
0201010143,I410,S,202306
0201010143,I411,S,202306
0201010143,I412,S,202306
0201010143,I420,S,202306
0201010143,I423,S,202306
0201010143,I424,S,202306
0201010143,I428,S,202306
0201010143,I429,S,202306
0201010151,C540,S,202306
0201010151,C541,S,202306
0201010151,C543,S,202306
0201010151,C548,S,202306
0201010151,D070,S,202306
0201010151,N710,S,202306
0201010151,N711,S,202306
0201010151,N719,S,202306
0201010151,N800,S,202306
0201010151,N840,S,202306
0201010151,N850,S,202306
0201010151,N851,S,202306
0201010151,N938,S,202306
0201010151,N970,S,202306
0201010151,N972,S,202306
0201010160,C541,S,202306
0201010160,C548,S,202306
0201010160,D070,S,202306
0201010160,D260,S,202306
0201010160,N840,S,202306
0201010160,N850,S,202306
0201010160,N851,S,202306
0201010160,N972,S,202306
0201010178,N450,S,202306
0201010178,N46,S,202306
0201010186,H150,S,202306
0201010186,H151,S,202306
0201010186,H159,S,202306
0201010208,B160,S,202306
0201010208,B161,S,202306
0201010208,B162,S,202306
0201010208,B169,S,202306
0201010208,B171,S,202306
0201010208,B178,S,202306
0201010208,B180,S,202306
0201010208,B181,S,202306
0201010208,B182,S,202306
0201010208,B188,S,202306
0201010208,B189,S,202306
0201010208,C229,S,202306
0201010208,C787,S,202306
0201010208,D134,S,202306
0201010208,D376,S,202306
0201010208,E830,S,202306
0201010208,E831,S,202306
0201010208,K729,S,202306
0201010208,K730,S,202306
0201010208,K731,S,202306
0201010208,K732,S,202306
0201010208,K738,S,202306
0201010208,K739,S,202306
0201010208,K740,S,202306
0201010208,K741,S,202306
0201010208,K742,S,202306
0201010208,K743,S,202306
0201010208,K744,S,202306
0201010208,K745,S,202306
0201010208,K746,S,202306
0201010208,K763,S,202306
0201010208,K764,S,202306
0201010208,K768,S,202306
0201010208,K769,S,202306
0201010224,C770,S,202306
0201010224,C771,S,202306
0201010224,C772,S,202306
0201010224,C773,S,202306
0201010224,C774,S,202306
0201010224,C775,S,202306
0201010224,C778,S,202306
0201010224,C819,S,202306
0201010224,D360,S,202306
0201010240,H219,S,202306
0201010259,B902,S,202306
0201010259,C412,S,202306
0201010259,C795,S,202306
0201010259,D166,S,202306
0201010259,D480,S,202306
0201010259,G600,S,202306
0201010259,G952,S,202306
0201010259,G958,S,202306
0201010259,M053,S,202306
0201010259,M058,S,202306
0201010259,M059,S,202306
0201010259,M060,S,202306
0201010259,M061,S,202306
0201010259,M064,S,202306
0201010259,M068,S,202306
0201010259,M069,S,202306
0201010259,M072,S,202306
0201010259,M080,S,202306
0201010259,M081,S,202306
0201010259,M082,S,202306
0201010259,M083,S,202306
0201010259,M146,S,202306
0201010259,M401,S,202306
0201010259,M402,S,202306
0201010259,M403,S,202306
0201010259,M404,S,202306
0201010259,M413,S,202306
0201010259,M415,S,202306
0201010259,M418,S,202306
0201010259,M419,S,202306
0201010259,M420,S,202306
0201010259,M421,S,202306
0201010259,M429,S,202306
0201010259,M430,S,202306
0201010259,M431,S,202306
0201010259,M436,S,202306
0201010259,M439,S,202306
0201010259,M45,S,202306
0201010259,M462,S,202306
0201010259,M463,S,202306
0201010259,M464,S,202306
0201010259,M465,S,202306
0201010259,M468,S,202306
0201010259,M469,S,202306
0201010259,M470,S,202306
0201010259,M471,S,202306
0201010259,M472,S,202306
0201010259,M478,S,202306
0201010259,M479,S,202306
0201010259,M480,S,202306
0201010259,M481,S,202306
0201010259,M482,S,202306
0201010259,M483,S,202306
0201010259,M484,S,202306
0201010259,M485,S,202306
0201010259,M488,S,202306
0201010259,M490,S,202306
0201010259,M491,S,202306
0201010259,M492,S,202306
0201010259,M493,S,202306
0201010259,M494,S,202306
0201010259,M495,S,202306
0201010259,M500,S,202306
0201010259,M501,S,202306
0201010259,M502,S,202306
0201010259,M503,S,202306
0201010259,M508,S,202306
0201010259,M509,S,202306
0201010259,M510,S,202306
0201010259,M511,S,202306
0201010259,M512,S,202306
0201010259,M513,S,202306
0201010259,M518,S,202306
0201010259,M519,S,202306
0201010259,M532,S,202306
0201010259,M800,S,202306
0201010259,M801,S,202306
0201010259,M802,S,202306
0201010259,M803,S,202306
0201010259,M804,S,202306
0201010259,M805,S,202306
0201010259,M808,S,202306
0201010259,M809,S,202306
0201010259,M850,S,202306
0201010259,M851,S,202306
0201010259,M853,S,202306
0201010259,M854,S,202306
0201010259,M855,S,202306
0201010259,M856,S,202306
0201010259,M860,S,202306
0201010259,M861,S,202306
0201010259,M862,S,202306
0201010259,M863,S,202306
0201010259,M864,S,202306
0201010259,M865,S,202306
0201010259,M866,S,202306
0201010259,M870,S,202306
0201010259,M872,S,202306
0201010259,M878,S,202306
0201010259,M891,S,202306
0201010259,M892,S,202306
0201010259,M893,S,202306
0201010259,M895,S,202306
0201010259,M960,S,202306
0201010259,M961,S,202306
0201010259,M962,S,202306
0201010259,M963,S,202306
0201010259,M964,S,202306
0201010259,M965,S,202306
0201010259,M966,S,202306
0201010259,M991,S,202306
0201010259,M992,S,202306
0201010259,M993,S,202306
0201010259,M994,S,202306
0201010259,M995,S,202306
0201010259,M996,S,202306
0201010259,M997,S,202306
0201010259,Q062,S,202306
0201010259,Q063,S,202306
0201010259,Q068,S,202306
0201010259,Q069,S,202306
0201010259,Q760,S,202306
0201010259,Q762,S,202306
